tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
20 Подпорожская,720,55%,342,79%,,,,missing
17 Лужская,665,50%,343,81%,,,,missing
15 Лодейнопольская,602,67%,335,71%,,,,missing
6 Выборгская,301,65%,330,76%,,,,missing
24 Сланцевская,807,53%,330,81%,,,,missing
26 Тихвинская,849,51%,333,77%,,c1,yes,"19, 43"
26 Тихвинская,849,51%,333,77%,,c2,yes,"21, 44"
1 Бокситогорская,17,83%,329,81%,,,,missing
7 Гатчинская,449,75%,326,85%,,,,missing
2 Волосовская,39,65%,328,83%,,,,missing
12 Киришская,536,62%,325,76%,,,,missing
27 Тосненская,927,55%,320,86%,,,,missing
6 Выборгская,272,53%,329,80%,,,,missing
6 Выборгская,333,81%,318,87%,,,,missing
27 Тосненская,896,66%,315,76%,,,,missing
3 Волховская,87,58%,310,73%,,,,missing
27 Тосненская,882,55%,310,81%,,,,missing
1 Бокситогорская,30,83%,305,86%,,,,missing
17 Лужская,704,74%,306,86%,,,,missing
7 Гатчинская,460,71%,306,80%,,,,missing
15 Лодейнопольская,616,69%,301,75%,,,,missing
27 Тосненская,903,59%,309,78%,,,,missing
26 Тихвинская,857,71%,296,82%,,,,missing
27 Тосненская,898,64%,294,79%,,,,missing
20 Подпорожская,743,63%,291,77%,,,,missing
6 Выборгская,309,61%,299,82%,,,,missing
3 Волховская,89,60%,291,74%,,,,missing
7 Гатчинская,356,55%,295,82%,,,,missing
3 Волховская,90,53%,294,76%,,,,missing
26 Тихвинская,974,95%,288,80%,,,,missing
2 Волосовская,49,88%,282,85%,,,,missing
1 Бокситогорская,21,84%,281,88%,,,,missing
1 Бокситогорская,25,74%,285,83%,,,,missing
7 Гатчинская,415,72%,286,78%,,,,missing
6 Выборгская,278,69%,285,66%,,,,missing
5 Всеволожская,153,65%,287,85%,,,,missing
17 Лужская,712,58%,282,84%,,,,missing
13 Кировская,592,89%,275,82%,,,,missing
13 Кировская,561,66%,271,89%,,,,missing
16 Ломоносовская,650,65%,272,88%,,,,missing
11 Кингисеппская,476,63%,276,79%,,,,missing
20 Подпорожская,731,58%,273,83%,,,,missing
15 Лодейнопольская,600,54%,272,82%,,,,missing
24 Сланцевская,822,93%,263,96%,,,,missing
11 Кингисеппская,503,88%,264,85%,,,,missing
25 Сосновоборская городская,985,84%,267,67%,,,,missing
7 Гатчинская,445,80%,268,88%,,,,missing
6 Выборгская,979,77%,267,65%,,,,missing
7 Гатчинская,444,73%,261,85%,,,,missing
5 Всеволожская,174,70%,265,91%,,,,missing
3 Волховская,114,59%,263,84%,,,,missing
17 Лужская,664,48%,265,79%,,,,missing
17 Лужская,706,77%,255,77%,,,,missing
5 Всеволожская,175,75%,253,82%,,,,missing
17 Лужская,713,72%,259,80%,,,,missing
13 Кировская,588,75%,249,82%,,,,missing
7 Гатчинская,417,54%,241,78%,,,,missing
6 Выборгская,296,85%,234,84%,,,,missing
15 Лодейнопольская,620,78%,233,88%,,,,missing
7 Гатчинская,360,63%,237,79%,,,,missing
3 Волховская,111,60%,236,68%,,,,missing
17 Лужская,697,60%,230,82%,,,,missing
27 Тосненская,888,59%,231,80%,,,,missing
1 Бокситогорская,28,75%,224,81%,,,,missing
16 Ломоносовская,628,71%,220,87%,,,,missing
6 Выборгская,331,69%,226,86%,,,,missing
16 Ломоносовская,629,65%,224,85%,,,,missing
7 Гатчинская,461,63%,224,78%,,,,missing
24 Сланцевская,823,52%,221,85%,,,,missing
6 Выборгская,281,78%,211,75%,,,,missing
15 Лодейнопольская,617,72%,218,85%,,,,missing
6 Выборгская,279,71%,210,83%,,,,missing
1 Бокситогорская,23,67%,211,81%,,,,missing
17 Лужская,695,64%,211,79%,,,,missing
3 Волховская,112,95%,208,85%,,,,missing
6 Выборгская,324,91%,203,84%,,,,missing
15 Лодейнопольская,601,91%,203,84%,,,,missing
26 Тихвинская,859,78%,200,81%,,,,missing
3 Волховская,113,70%,203,74%,,,,missing
24 Сланцевская,808,51%,208,82%,,,,missing
17 Лужская,663,51%,200,77%,,,,missing
7 Гатчинская,469,94%,195,87%,,,,missing
1 Бокситогорская,20,92%,191,93%,,,,missing
1 Бокситогорская,19,83%,193,72%,,,,missing
6 Выборгская,299,83%,195,88%,,,,missing
11 Кингисеппская,508,76%,190,85%,,,,missing
7 Гатчинская,428,75%,194,82%,,,,missing
1 Бокситогорская,34,74%,197,84%,,,,missing
13 Кировская,577,70%,196,84%,,,,missing
26 Тихвинская,861,66%,192,81%,,,,missing
26 Тихвинская,865,61%,197,81%,,,,missing
6 Выборгская,303,55%,195,72%,,,,missing
7 Гатчинская,431,89%,189,81%,,,,missing
1 Бокситогорская,33,78%,185,87%,,,,missing
1 Бокситогорская,29,75%,181,85%,,,,missing
20 Подпорожская,747,68%,187,82%,,,,missing
3 Волховская,91,64%,188,83%,,,,missing
13 Кировская,556,55%,181,84%,,,,missing
17 Лужская,673,51%,187,80%,,,,missing
26 Тихвинская,977,100%,178,84%,,,,missing
15 Лодейнопольская,611,81%,178,87%,,,,missing
15 Лодейнопольская,609,79%,174,90%,,,,missing
12 Киришская,544,74%,174,81%,,,,missing
27 Тосненская,899,62%,170,77%,,,,missing
24 Сланцевская,818,72%,161,90%,,,,missing
6 Выборгская,336,71%,165,84%,,,,missing
26 Тихвинская,824,62%,162,83%,,,,missing
3 Волховская,71,59%,163,77%,,,,missing
7 Гатчинская,969,93%,154,81%,,,,missing
11 Кингисеппская,509,82%,158,84%,,,,missing
15 Лодейнопольская,607,75%,156,82%,,,,missing
21 Приозерская,767,69%,157,79%,,,,missing
21 Приозерская,784,64%,158,73%,,,,missing
6 Выборгская,294,60%,156,81%,,,,missing
11 Кингисеппская,498,78%,143,81%,,,,missing
7 Гатчинская,364,69%,148,78%,,,,missing
6 Выборгская,314,67%,149,83%,,,,missing
6 Выборгская,306,63%,146,89%,,,,missing
3 Волховская,95,59%,149,80%,,,,missing
17 Лужская,716,53%,140,83%,,,,missing
26 Тихвинская,975,100%,138,72%,,,,missing
13 Кировская,580,94%,130,90%,,,,missing
6 Выборгская,332,89%,134,88%,,,,missing
7 Гатчинская,365,88%,135,78%,,,,missing
11 Кингисеппская,510,79%,130,89%,,,,missing
6 Выборгская,308,68%,133,84%,,,,missing
17 Лужская,711,66%,132,77%,,,,missing
17 Лужская,708,60%,133,85%,,,,missing
17 Лужская,701,34%,132,87%,,,,missing
17 Лужская,669,87%,122,86%,,,,missing
26 Тихвинская,854,81%,127,83%,,,,missing
13 Кировская,593,78%,129,85%,,,,missing
15 Лодейнопольская,608,75%,120,90%,,,,missing
17 Лужская,715,70%,127,85%,,,,missing
26 Тихвинская,976,100%,116,76%,,,,missing
24 Сланцевская,973,100%,117,82%,,,,missing
13 Кировская,590,81%,113,90%,,,,missing
6 Выборгская,342,81%,115,94%,,,,missing
12 Киришская,538,75%,111,87%,,,,missing
20 Подпорожская,744,74%,117,81%,,,,missing
17 Лужская,675,52%,117,77%,,,,missing
26 Тихвинская,853,86%,100,90%,,,,missing
12 Киришская,541,71%,100,87%,,,,missing
3 Волховская,88,70%,107,83%,,,,missing
15 Лодейнопольская,619,61%,100,77%,,,,missing
12 Киришская,971,99%,96,72%,,,,missing
2 Волосовская,44,89%,90,88%,,,,missing
13 Кировская,589,83%,92,86%,,,,missing
12 Киришская,542,68%,92,74%,,,,missing
20 Подпорожская,740,68%,91,93%,,,,missing
20 Подпорожская,745,68%,95,82%,,,,missing
20 Подпорожская,751,53%,93,76%,,,,missing
1 Бокситогорская,26,86%,86,80%,,,,missing
11 Кингисеппская,499,78%,85,81%,,,,missing
27 Тосненская,901,73%,89,79%,,,,missing
1 Бокситогорская,7,72%,81,80%,,,,missing
24 Сланцевская,817,53%,80,82%,,,,missing
20 Подпорожская,753,52%,80,91%,,,,missing
15 Лодейнопольская,613,75%,73,90%,,,,missing
20 Подпорожская,733,60%,71,79%,,,,missing
20 Подпорожская,749,51%,73,81%,,,,missing
15 Лодейнопольская,612,94%,63,83%,,,,missing
15 Лодейнопольская,615,88%,60,87%,,,,missing
1 Бокситогорская,22,88%,68,87%,,,,missing
20 Подпорожская,741,84%,63,78%,,,,missing
20 Подпорожская,732,81%,60,74%,,,,missing
15 Лодейнопольская,614,70%,60,86%,,,,missing
27 Тосненская,900,69%,69,84%,,,,missing
20 Подпорожская,738,69%,66,91%,,,,missing
17 Лужская,696,50%,67,80%,,,,missing
2 Волосовская,968,100%,54,74%,,,,missing
3 Волховская,92,78%,52,75%,,,,missing
3 Волховская,93,71%,58,89%,,,,missing
20 Подпорожская,748,59%,57,77%,,,,missing
1 Бокситогорская,31,82%,40,89%,,,,missing
20 Подпорожская,754,80%,45,85%,,,,missing
20 Подпорожская,739,71%,40,82%,,,,missing
26 Тихвинская,858,74%,30,89%,,,,missing
13 Кировская,591,69%,38,87%,,,,missing
26 Тихвинская,864,61%,34,80%,,,,missing
20 Подпорожская,750,55%,33,93%,,,,missing
20 Подпорожская,752,47%,25,83%,,,,missing
